the grand bahama island in [MASK].	Bahamas
two countries invaded poland in the beginning of ww2 [MASK].	Germany
countries border the us [MASK].	Canada
nina dobrev nationality is [MASK].	Bulgaria
iceland belong to [MASK].	Iceland
taylor lautner play in [MASK].	Abduction
[MASK] was ishmael 's mom.	Hagar
the major cities in france are [MASK].	Paris
esther live in [MASK].	Susa
martin cooper doing now is [MASK].	Inventor
william shakespeare do for a living [MASK].	Poet
heathrow airport in [MASK].	London
michael weston drive [MASK].	Wishcraft
australia gmt is [MASK].	UTC+8
[MASK] does maggie grace play in taken.	Kim
louis armstrong play [MASK].	Jazz
jackie french live in [MASK].	Australia
practiced in sparta was [MASK].	Monarchy
jack daniels factory in [MASK].	Tennessee
charles darwin famous for [MASK].	Evolution
the countries in the united kingdom are [MASK].	Wales
benjamin franklin died in [MASK].	Philadelphia
martin luther king got shot in [MASK].	Memphis
[MASK] does christina milian have a baby by.	The-Dream
ben franklin do [MASK].	Diplomat
rob kardashian get surgery for [MASK].	Appendicitis
nelson mandela 's religion was [MASK].	Methodism
[MASK] will win the 2011 nhl stanley cup.	Canada
henry clay known for [MASK].	Lawyer
the money of spain called is [MASK].	Euro
sunbeam microwaves made in [MASK].	Florida
ryanair fly to [MASK].	Bergamo
justin bieber [MASK].	guitar
the casey anthony case take place in [MASK].	Orlando
the texas rangers started in [MASK].	1972
they call football in spanish [MASK].	XHVG-FM
niles crane live in [MASK].	Seattle
gabriel faure born in [MASK].	France
australian people speak [MASK].	Lojban
[MASK] did ben stiller play in megamind.	Bernard
jane mansfield die in [MASK].	Slidell
the thames river located in [MASK].	London
ellen play in finding nemo [MASK].	Dory
6 states border south dakota [MASK].	Iowa
countries share borders with france [MASK].	Italy
salvador dali is [MASK].	Painting
george v die of [MASK].	Euthanasia
have happened if germany had won ww1 [MASK].	de
the nation of greece located in [MASK].	Europe
countries have english as native language [MASK].	Canada
rebecca adlington compete in [MASK].	Swimming
the battle of antietam creek in [MASK].	Pennsylvania
she from shakira in [MASK].	Colombia
[MASK] did hera marry.	Zeus
kirk hammett play [MASK].	guitar
william mckinley became president [MASK].	1897
the islamic believe [MASK].	Muslims
the basic beliefs of sikhism are [MASK].	Saṃsāra
australia export [MASK].	Energy
henry knox die in [MASK].	Thomaston
[MASK] was the queen of the iceni tribe.	Boudica
they speak in northern ireland [MASK].	Irish
abraham lincoln do before he was president [MASK].	Statesman
leland chapman live now in [MASK].	Kailua
the roman colosseum located in [MASK].	Rome
mayans predict end of the world in [MASK].	2012
for math [MASK].	Mathematician
joseph lister do for science [MASK].	Listerine
[MASK] uses new king james bible.	Christianity
joe walsh leave the eagles in [MASK].	1980
jj thomson discover [MASK].	Electron
[MASK] is chelsea kane.	Singer
[MASK] is darwin and what is his theory.	Naturalist
south africa part of [MASK].	Africa
the china money called is [MASK].	Renminbi
catholics call their god [MASK].	God
the capital of alaska state is [MASK].	Juneau
[MASK] speaks farsi.	Canada
[MASK] were the major trade partners of russia.	Uzbekistan
nathaniel hawthorne die in [MASK].	Plymouth
buddhist gods are [MASK].	Āgama
the nation of palestine in [MASK].	Eurasia
the greek titans are [MASK].	Titanium
countries speak english primarily [MASK].	Canada
leonardo da vinci when he died in [MASK].	Amboise
the mali empire have [MASK].	Republic
the religion of israel people is [MASK].	Judaism
mount st helens is [MASK].	Stratovolcano
[MASK] is esther hicks.	Writer
	Gauteng
henri matisse famous for [MASK].	Sculpture
[MASK] was louis riel.	Politician
the four nations of the uk are [MASK].	Scotland
helen keller [MASK].	Deafness
greenpeace an international environmental organization founded in [MASK].	Vancouver
the battle of waterloo held in [MASK].	Waterloo
marilyn monroe known for [MASK].	Singer
lala anthony live in [MASK].	Brooklyn
brad pitt born in [MASK].	Shawnee
the euro 2012 tournament in [MASK].	Italy
dolly parton grew up in [MASK].	Sevierville
rick santorum from [MASK].	Pennsylvania
henri matisse involved in [MASK].	Fauvism
czechoslovakia become [MASK].	Slovakia
richard wagner play [MASK].	Opera
most of the people live in japan in [MASK].	Tokyo
	Spain
	Netherlands
made jimi hendrix great [MASK].	guitar
the countries and capitals of central america are [MASK].	Honduras
mary poppins made in [MASK].	1964
king edward vi died from [MASK].	Tuberculosis
found in australia are [MASK].	Catholicism
russia border [MASK].	Ukraine
st vincent de paul buried in [MASK].	Paris
jimmy valvano die with [MASK].	Cancer
giovanni pierluigi da palestrina live in [MASK].	Italy
[MASK] is michelle obama.	Writer
hans oersted discovered in 1819 [MASK].	Aluminium
the lions last win a thanksgiving game in [MASK].	Tombo
richard arkwright die in [MASK].	Cromford
vietnam originate in [MASK].	Asia
scottie pippen come into the nba [MASK].	1987
you if you re in zagreb in [MASK].	Croatia
south africa border 2 the north [MASK].	Lesotho
brazil time zone is [MASK].	UTC−02:00
[MASK] was tex beneke.	Singer
all the things thomas edison invented are [MASK].	Phonograph
shakira 's nationality is [MASK].	Colombia
the nascar hall of fame in [MASK].	Charlotte
[MASK] is gilbert gottfried snl.	Actor
christiaan barnard famous for [MASK].	Surgeon
israel belong to [MASK].	Asia
thomas jefferson 's home in [MASK].	Monticello
the capital of spain in 2010 is [MASK].	Madrid
the university of west alabama located in [MASK].	Alabama
kenny everett die off [MASK].	AIDS
elvis presley started his career in [MASK].	Memphis
harriet tubman have [MASK].	Writer
unesco operate in [MASK].	Paris
people speak in iran [MASK].	Persian
bela fleck play [MASK].	Banjo
mary todd lincoln was [MASK].	Presbyterianism
the country of cyprus located in [MASK].	Europe
king charles spaniels are [MASK].	Dog
the new york mets start [MASK].	1962
neil gaiman grow up in [MASK].	Menomonie
in the andean region are [MASK].	Brazil
the team colors for the pittsburgh steelers are [MASK].	White
the major religions practiced in israel are [MASK].	Judaism
andrew jackson run for president [MASK].	3/4/1829
madoff live in nyc in [MASK].	Queens
[MASK] was josh groban in crazy stupid love.	Richard
the scientist thomson discover [MASK].	Electron
[MASK] does the islam worship.	Allah
venus named for [MASK].	Planet
movies have kenya moore produced [MASK].	Trois
germany surrender in ww2 [MASK].	Berlin
liz mcclarnon live in [MASK].	England
fc schalke 04 in [MASK].	Gelsenkirchen
omar epps first movie was [MASK].	Juice
eu parliament in [MASK].	Brussels
president lyndon johnson from in [MASK].	Austin
logan browning live in [MASK].	Atlanta
mcdonalds officially open in [MASK].	5/15/1940
adidas originate in [MASK].	Germany
2pm est in philippines is [MASK].	UTC+8
the pyramids of giza located in [MASK].	Egypt
[MASK] were demeter 's brothers and sisters.	Zeus
canada 's capital located in [MASK].	Ontario
singapore on a world map in [MASK].	Eurasia
bob ross die of [MASK].	Lymphoma
[MASK] were ulysses s grant and robert e lee.	General-in-Chief
	Tanzania
the major religions in uk are [MASK].	Judaism
the currency of spain called is [MASK].	Euro
to the north of the united states of america is [MASK].	Canada
mozart do to become famous [MASK].	Composer
avril lavigne born in [MASK].	Belleville
movies have queen latifah played in [MASK].	Taxi
the short name for stephanie is [MASK].	Stepha
south africa export to [MASK].	Tanzania
leo howard play in [MASK].	Logan
john williams use [MASK].	Trombone
a city in montana [MASK].	Helena
vw cc made in [MASK].	Germany
three continents touch the atlantic ocean [MASK].	Canada
john howard live in [MASK].	Sydney
beethoven composed [MASK].	Opera
george steinbrenner do [MASK].	Entrepreneur
pablo picasso die in [MASK].	Mougins
nick carter sister died of [MASK].	guitar
[MASK] is james dean.	Actor
[MASK] do roman catholics give authority to.	Pope
[MASK] is nina dobrev playing in perks of being a wallflower.	Candace
[MASK] is larry ellison oracle.	Entrepreneur
the zip code for fort stockton texas is [MASK].	79735
obama come from [MASK].	Honolulu
whitney houston die off [MASK].	Drowning
van gogh famous for [MASK].	Painter
thomson discover with his cathode ray tube experiment [MASK].	Electron
albert einstein have [MASK].	Writer
the currency name of china is [MASK].	Renminbi
	Sharpsburg
vietnamese people originate from in [MASK].	Asian
latin america consist of [MASK].	Bolivia
wassily kandinsky do [MASK].	Painting
rod stewart born in [MASK].	Highgate
nicolaus copernicus occupation was [MASK].	Astronomer
greece have [MASK].	Euro
azerbaijan in [MASK].	Europe
bella abzug do [MASK].	Lawyer
films has gerard butler starred in [MASK].	Attila
leonardo da vinci produce [MASK].	Sculpture
anderson cooper is [MASK].	CNN
san miguel mexico on map in [MASK].	Guanajuato
the tsunami happened in japan in [MASK].	Japan
the capital of georgia is [MASK].	Atlanta
miley cyrus red hair is [MASK].	therichest.org
marie curie come from in [MASK].	Warsaw
allen iverson live now in [MASK].	Hampton
dwight howard born in [MASK].	Atlanta
guyanese people live in [MASK].	Guyana
alexandria located in [MASK].	Egypt
[MASK] was the fascist dictator of germany.	Hitler
most chinese live in [MASK].	China
the euro used in [MASK].	Italy
the roman catholic church by [MASK].	Catholicism
darry look like [MASK].	Male
five countries that border france are [MASK].	Italy
yuvraj made his odi debut in [MASK].	10/3/2000
scott joplin noted for [MASK].	Ragtime
	Florence
george washington have [MASK].	Malaria
sean murray first appear on ncis in [MASK].	2003
[MASK] is abraham maslow.	Psychologist
benedict arnold famous for [MASK].	Traitor
the original mona lisa in [MASK].	Louvre
jill wagner on wipeout is [MASK].	Him/Herself
countries has spanish as their official language [MASK].	Honduras
raj kundra do [MASK].	Entrepreneur
the northeast of the united states is [MASK].	Canada
george washington live in [MASK].	Virginia
	Mexico
[MASK] is lincoln steffens.	Journalist
university of alabama located in [MASK].	Tuscaloosa
el salvador located in [MASK].	Americas
george washington suffer from [MASK].	Malaria
's jamaica country code [MASK].	jm
the mekong river located in [MASK].	Thailand
[MASK] founded the sisters of saint joseph.	Rachel
there to do in gatlinburg in december is [MASK].	37738
nike operate in [MASK].	Earth
euro 2012 be in [MASK].	Italy
american staffordshire terriers are [MASK].	Dog
god give to israel [MASK].	Israel
vincent van gogh do [MASK].	Post-Impressionism
the tutsi come from in [MASK].	Rwanda
osama bin laden live in [MASK].	Sudan
the roman empire centered in [MASK].	Rome
[MASK] was jacob riis and why was he important.	Photographer
west african countries are [MASK].	Ghana
the mines in victoria in [MASK].	Victoria
luke afb arizona in [MASK].	Glendale
the japanese call their country [MASK].	Japan
school holidays in queensland 2013 in [MASK].	Woorabinda
[MASK] was killed first tupac or biggie.	Tupac
sony headquarters in [MASK].	Tokyo
tchaikovsky is [MASK].	Opera
wimbledon tennis tournament in [MASK].	Yearly
german an official language in [MASK].	Canada
larry hagman die of [MASK].	Leukemia
michigan usa is [MASK].	UTC-5
jill wagner on [MASK].	Wipeout
ethnic russians look like [MASK].	Europeans
places made up the western roman empire [MASK].	Europe
[MASK] is blackwell.	Critic
justin bieber grew up in [MASK].	Canada
john cornyn represent [MASK].	Texas
zip code for chicago illinois is [MASK].	60605
the portuguese language derived from in [MASK].	Brazil
5 countries border ethiopia [MASK].	Sudan
the university of maryland university college in [MASK].	Adelphi
anne frank live before the war in [MASK].	Frankfurt
joseph p kennedy born in [MASK].	Boston
[MASK] are iran 's major trading partners.	Madagascar
kaplan university online located is [MASK].	Maryland
[MASK] do rastafarians worship.	Zion
the bahamas are [MASK].	UTC-5
l frank baum die in [MASK].	Hollywood
gareth southgate play in [MASK].	England
duke ellington play [MASK].	Piano
the gobi desert located in [MASK].	Mongolia
barack obama born in [MASK].	Honolulu
countries speak spanish wikipedia [MASK].	Spain
vasco da gama came from [MASK].	Portugal
the nfl hall of fame located and when was the building opened in [MASK].	Canton
laura ingalls wilder live in [MASK].	Wisconsin
born in [MASK].	Genoa
[MASK] did kat graham play in parent trap.	Jackie
the zip code for trenton ga is [MASK].	08610
kourtney kardashian go to college for [MASK].	Theatre
bergen belsen concentration camp located in [MASK].	Germany
the name of tecumseh brother was [MASK].	Tenskwatawa
allen iverson get married [MASK].	8/3/2001
the battle of thermopylae occur in [MASK].	Greece
you say after a sneeze in german [MASK].	Wymysorys
the currency in slovakia 2012 is [MASK].	Euro
[MASK] was louis kossuth.	Politician
prince charles last name was [MASK].	Mountbatten-Windsor
mark zuckerberg co founder [MASK].	Facebook
	Pakistan
red lake ontario in [MASK].	Canada
john adams from [MASK].	Massachusetts
germany border [MASK].	Netherlands
[MASK] does russia trade with the most.	Uzbekistan
[MASK] was the grandson of king david 's father.	Solomon
devon sawa now in [MASK].	Vancouver
shoreditch in [MASK].	London
the spanish language come from in [MASK].	Spain
capital city of ontario is [MASK].	Ottawa
the 5 countries in the united kingdom are [MASK].	Wales
jojo signed to [MASK].	Mercury
hong kong china in [MASK].	Asia
the capital of canada on the map in [MASK].	Ottawa
movies have robert pattinson starred in [MASK].	Eclipse
lance armstrong born and in what year in [MASK].	9/18/1971
the most practiced religion in the us is [MASK].	Christianity
duffy sing [MASK].	Mercy
the flemish live in [MASK].	Belgium
religion in thailand [MASK].	Buddhism
sparta greece have [MASK].	Monarchy
the names of all the countries in africa are [MASK].	Angola
[MASK] started the first persian gulf war.	Kuwait
emperor hadrian born in [MASK].	Rome
the colosseum in rome used for [MASK].	Gladiator
kurt cobain die in [MASK].	Seattle
the battle of verdun held in [MASK].	Verdun
the ottoman turks follow [MASK].	Islam
germany take over during world war 2 [MASK].	France
[MASK] was joseph pulitzer and what did he do.	Publisher
the next geneva motor show in [MASK].	March
the battle of antietam take place in [MASK].	Sharpsburg
armenia border [MASK].	Turkey
president in [MASK].	1960
martin luther king jr have [MASK].	Preacher
[MASK] is andrew carnegie and what did he do.	Entrepreneur
[MASK] is jeremy sumpter.	Actor
henry clay represent [MASK].	Kentucky
vasco nunez de balboa born in [MASK].	Spain
the mississippi river pass through [MASK].	Mississippi
[MASK] was the emperor before nero.	Claudius
henri matisse produce [MASK].	Fauvism
directed by steven spielberg are [MASK].	Duel
school holidays in uk 2011 in [MASK].	Denbighshire
the battle of new orleans start in [MASK].	Touro
[MASK] is paul revere and what did he do.	Silversmith
[MASK] was galileo galilei.	Mathematician
countries use english as national language [MASK].	Canada
jason statham live in [MASK].	Sydenham
south africa in [MASK].	Africa
aldi originate in [MASK].	1961
barack obama elected president in [MASK].	1/10/2011
the government of chile is [MASK].	Republic
natalie portman play in [MASK].	Closer
puerto galera in [MASK].	Philippines
the battle of verdun located in [MASK].	Verdun
and see in miami florida [MASK].	Wolfsonian-FIU
chris farley do [MASK].	Coneheads
the earthquake in christchurch in [MASK].	Canterbury
baybrook mall in [MASK].	Friendswood
princess leia call home [MASK].	Alderaan
roman abramovich live in [MASK].	Moscow
to travel in africa in january in [MASK].	Angola
most immigrants come from [MASK].	/g/124x8gxxd
whitey bulger in [MASK].	Boston
greece use 2012 [MASK].	Euro
fresno state 's zip code is [MASK].	93702
[MASK] plays jay adams in lords of dogtown.	Him/Herself
songs has madonna written [MASK].	Masterpiece
pope benedict xvi live in [MASK].	Germany
tommy emmanuel from in [MASK].	Australia
	Lesotho
countries use the euro as official currency [MASK].	Italy
the netherlands use [MASK].	Euro
[MASK] did king tut married.	Ankhesenamun
mary queen of scots is [MASK].	Catholicism
port st johns florida in [MASK].	Florida
ben hall do [MASK].	Bushranger
the university of oregon state in [MASK].	Oregon
the capital city of canada on a map is [MASK].	Ottawa
people from iran are [MASK].	Persian
the germans come from wiki in [MASK].	Germany
tom hanks won his first oscar [MASK].	Big
ancient egypt created in [MASK].	eg
francis drake represent [MASK].	England
[MASK] was mendel and what did he develop.	Scientist
universal studios california theme park in [MASK].	Glendale
part of the united kingdom are [MASK].	Wales
chinese [MASK].	Chinese
john adams get elected president [MASK].	4/21/1789
[MASK] did magellan sail for.	Explorer
irish people come from in [MASK].	Ireland
carrie underwood live in [MASK].	Checotah
toni braxton born and raised in [MASK].	Severn
maria theresa rule [MASK].	Bohemia
roger sherman represent at the constitutional convention [MASK].	Connecticut
bradley cooper live now in [MASK].	Philadelphia
vasco da gama come from [MASK].	Portugal
they speak farsi [MASK].	Canada
luke skywalker live in star wars in [MASK].	Tatooine
two countries in south america are [MASK].	Carrasco
vatican city in [MASK].	Rome
duke ellington do [MASK].	Musician
the atlanta falcons located in [MASK].	Atlanta
tommy emmanuel born in [MASK].	Muswellbrook
frida kahlo use in her paintings [MASK].	Surrealism
[MASK] does larry david play in seinfeld.	Screenwriter
toussaint charbonneau from in [MASK].	Boucherville
harriet beecher stowe do as an abolitionist [MASK].	Novelist
	Gauteng
john cabot sail for [MASK].	Italy
school start in los angeles california 2011 in [MASK].	August
samuel de champlain [MASK].	Soldier
robert koch do [MASK].	Physician
quentin tarantino star in [MASK].	Grindhouse
charlie sheen do [MASK].	Cocaine
st mary mascot is [MASK].	Griffin
